fecha,tipo_ingreso,linea,ingreso
2012-01-04,Recargas,Línea 9,319827
2012-01-04,Recargas,Línea A,211119
2012-01-04,Recargas,Línea B,367069
2012-01-04,Recargas,Línea 12,NaN
2012-01-04,Tarjetas,Línea 1,7940
2012-01-04,Tarjetas,Línea 2,10560
2012-01-04,Tarjetas,Línea 3,6770
2012-01-04,Tarjetas,Línea 4,1030
2012-01-04,Tarjetas,Línea 5,2160
2012-01-04,Tarjetas,Línea 6,1730
2012-01-04,Tarjetas,Línea 7,4350
2012-01-04,Tarjetas,Línea 8,3990
2012-01-04,Tarjetas,Línea 9,3610
2012-01-04,Tarjetas,Línea A,1260
2012-01-04,Tarjetas,Línea B,3930
2012-01-04,Tarjetas,Línea 12,NaN
2012-01-05,Boletos,Línea 1,1407075
2012-01-05,Boletos,Línea 2,1593750
2012-01-05,Boletos,Línea 3,1200975
2012-01-05,Boletos,Línea 4,178830
2012-01-05,Boletos,Línea 5,384465
2012-01-05,Boletos,Línea 6,269055
2012-01-05,Boletos,Línea 7,447345
2012-01-05,Boletos,Línea 8,823911
2012-01-05,Boletos,Línea 9,515835
2012-01-05,Boletos,Línea A,509055
2012-01-05,Boletos,Línea B,988845
2012-01-05,Boletos,Línea 12,NaN
2012-01-05,Recargas,Línea 1,633827
2012-01-05,Recargas,Línea 2,855920.5
2012-01-05,Recargas,Línea 3,634833
2012-01-05,Recargas,Línea 4,76694
2012-01-05,Recargas,Línea 5,153705
2012-01-05,Recargas,Línea 6,144232
2012-01-05,Recargas,Línea 7,340058.5
2012-01-05,Recargas,Línea 8,363732
2012-01-05,Recargas,Línea 9,309622.5
2012-01-05,Recargas,Línea A,205157
2012-01-05,Recargas,Línea B,345451
2012-01-05,Recargas,Línea 12,NaN
2012-01-05,Tarjetas,Línea 1,5950
2012-01-05,Tarjetas,Línea 2,9880
2012-01-05,Tarjetas,Línea 3,6340
2012-01-05,Tarjetas,Línea 4,1070
2012-01-05,Tarjetas,Línea 5,2090
2012-01-05,Tarjetas,Línea 6,1700
2012-01-05,Tarjetas,Línea 7,3880
2012-01-05,Tarjetas,Línea 8,3480
2012-01-05,Tarjetas,Línea 9,3200
2012-01-05,Tarjetas,Línea A,1330
2012-01-05,Tarjetas,Línea B,3790
2012-01-05,Tarjetas,Línea 12,NaN
2012-01-06,Boletos,Línea 1,1278015
2012-01-06,Boletos,Línea 2,1411710
2012-01-06,Boletos,Línea 3,1102785
2012-01-06,Boletos,Línea 4,155760
2012-01-06,Boletos,Línea 5,366705
2012-01-06,Boletos,Línea 6,259380
2012-01-06,Boletos,Línea 7,423645
2012-01-06,Boletos,Línea 8,720870
2012-01-06,Boletos,Línea 9,483240
2012-01-06,Boletos,Línea A,475035
2012-01-06,Boletos,Línea B,821970
2012-01-06,Boletos,Línea 12,NaN
2012-01-06,Recargas,Línea 1,607785
2012-01-06,Recargas,Línea 2,820064.5
2012-01-06,Recargas,Línea 3,589701
2012-01-06,Recargas,Línea 4,71490
2012-01-06,Recargas,Línea 5,139727
2012-01-06,Recargas,Línea 6,143526.5
2012-01-06,Recargas,Línea 7,333548
2012-01-06,Recargas,Línea 8,356289
2012-01-06,Recargas,Línea 9,293554.3
2012-01-06,Recargas,Línea A,196523
2012-01-06,Recargas,Línea B,339516
2012-01-06,Recargas,Línea 12,NaN
2012-01-06,Tarjetas,Línea 1,6350
2012-01-06,Tarjetas,Línea 2,8920
2012-01-06,Tarjetas,Línea 3,5980
2012-01-06,Tarjetas,Línea 4,630
2012-01-06,Tarjetas,Línea 5,1870
2012-01-06,Tarjetas,Línea 6,1670
2012-01-06,Tarjetas,Línea 7,3530
2012-01-06,Tarjetas,Línea 8,3350
2012-01-06,Tarjetas,Línea 9,2470
2012-01-06,Tarjetas,Línea A,1180
2012-01-06,Tarjetas,Línea B,3570
2012-01-06,Tarjetas,Línea 12,NaN
2012-01-07,Boletos,Línea 1,1281750
2012-01-07,Boletos,Línea 2,1386150
2012-01-07,Boletos,Línea 3,985140
